cat	utterance	type	link
	"Das Nachfolgewerk aus dem Jahr 2012 heißt Escribiendo con Ulrike Meinhof, ""Schreiben mit Ulrike Meinhof"": Hier schmückt das Cover das berühmte Bild der jungen Meinhof in der konkret-Redaktion im Jahr 1962, mit dem Stift in der Hand, versonnenen Blicks. ""Ulrike Meinhof, nie vergessen, ewiger Samen der Freiheit"", twitterte Hasél 2019 am Jahrestag ihres Selbstmords in Stammheim."	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	"Aber nicht nur die Frauen der RAF genießen seine Bewunderung. In anderen Tracks feiert er die ""antifaschistischen Freiheitskämpfer"" der baskischen Eta und insbesondere der Grapo, einer marxistisch-leninistischen Gruppe, die nach dem Ende der Franco-Diktatur für die Errichtung eines kommunistischen Regimes in Spanien stritt und bis zu ihrer Auflösung im Jahr 2007 insgesamt 84 Menschen ermordete, insbesondere Polizisten und Militärangehörige."	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	"Zum ersten Mal wurde Hasél im Jahr 2011 verhaftet, weil er unter anderem in dem Stück Realidas Surrealista eine ""Rückkehr der Grapo"" herbeisehnte. ""Ich respektiere jeden, der mehr als ein Schwein getötet hat"", hieß es darin in wiederum von Ulrike Meinhof geprägter Diktion (""wir sagen, natürlich, die Bullen sind Schweine ... und natürlich kann geschossen werden"")."	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	"Aber nicht nur die Frauen der RAF genießen seine Bewunderung. In anderen Tracks feiert er die ""antifaschistischen Freiheitskämpfer"" der baskischen Eta und insbesondere der Grapo, einer marxistisch-leninistischen Gruppe, die nach dem Ende der Franco-Diktatur für die Errichtung eines kommunistischen Regimes in Spanien stritt"	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	"Der große Satan USA tritt hier auf als Hauptschuldiger an aller Unbill der Welt, neben – natürlich – dem ""zionistischen Teufel"", der ""die Mehrheit der multinationalen Unternehmen in Hollywood kontrolliert"" und ""fast jedes Land an seinen Arsch geklebt hat"", wie es in einem Tweet von Hasél aus dem Jahr 2012 heißt."	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	"200 spanische Künstler und Intellektuelle, darunter Pedro Almodóvar und Javier Bardem, haben einen Aufruf unterschrieben, in dem das Urteil gegen ihn als unerträglicher Eingriff in die Meinungsfreiheit kritisiert wird: ""Wenn wir zulassen, dass Pablo verhaftet wird, kann es morgen jeden von uns treffen."""	article	https://www.zeit.de/2021/09/pablo-hasel-spanien-gefaengnis-rap-texte
	Wir sind das Kommentariat	moderation	
	Ich kommentiere etwas	moderation	
	Du kommentierst etwas	moderation	
			
			
			
			
			
			
			
			
