	Unnamed: 0	platform	phase/arg_situation	method	adressee, reference	function	intent	impl_expl	pos_neg	easy translation	User	topic	link	connected	utterance	Effekt	lecture	praise	insinuation	dissence	concession	td-type
24		Zeit	argumentation	many_questions	opponent	expressive	indignating	0,6	0,31	you are insulting people		unknown			"Warum müssen Sie denn Menschen, die Ihren Geschmack nicht teilen, als ""Wohlstandsspießer"" beschimpfen und herabsetzen?"	insinuation	0.54	0,01	0.82	0,65	0,1	ml
25		Zeit	conclusion	casting_doubt	argument	expressive	rejecting	0,73	0,34	your contribution is not helpful 		unknown			Eine geballte Ladung Binsenweisheiten	insinuation	0.45	0,02	0.76	0,67	0,03	ml
26		Zeit	opening	commissive	opponent	expressive	declaring	0,8	0,26	you don't deserve an answer		unknown			erwarten Sie von mir keine ernsthafte Erwiderung.	dissence	0.38	0,01	0.54	0,8	0,17	ml
27		Zeit	opening	commissive	argument	expressive	stating	0,8	0,28	this contribution is not worth considering		unknown			sowas kann ich nicht ernst nehmen	dissence	0.31	0,01	0.27	0,78	0,23	ml
28		Zeit	argumentation	evaluation	opponent	expressive	weaken	0,72	0,31	this contribution is not worth considering		environment			Mit Bibelzitaten argumentieren? Ernsthaft??	dissence	0.57	0,01	0.49	0,79	0,1	ml
29		Zeit	opening	commissive	argument	expressive	stating	0,65	0,31	this contribution is not worth considering		unknown			Sorry, solche Aussagen kann ich nicht ernst nehmen.	dissence	0.46	0,01	0.44	0,74	0,17	ml
30		Zeit	conclusion	ad_populum	person	expressive	stating	0,6	0,26	these people can't be trusted		environment			mehr ist zur Glaubwürdigkeit dieser „Kritikerszene“ nicht zu sagen.	dissence	0.44	0,01	0.27	0,76	0,16	ml
32		Zeit	conclusion	ad_hominem	opponent	expressive	weaken	0,76	0,26	you are narrow minded		environment			solche Kleingeister wie Sie	lecture	0.69	0,01	0.48	0,66	0,09	ml
35		Zeit	argumentation	ad_hominem	opponent	expressive	rebuking	0,88	0,2	this is a lie		politics			Das ist komplett verlogen und für die Demokratie brandgefährlich	insinuation	0.63	0,01	0.83	0,8	0,07	ml
36		Zeit	argumentation	casting_doubt	argument	expressive	weaken	0,78	0,34	i don't believe this		politics			Immer diese unbewiesene Theorien	dissence	0.64	0,02	0.67	0,77	0,02	ml
39		SPON	argumentation	proposition	group	expressive	assessing	0,79	0,6	this is what happens	klar	environment			Grünen-Wähler übernehmen ob gut oder schlecht wahrscheinlich einfach eher Verantwortung für das Gemeinwohl	concession	0.33	0,65	0.59	0,1	0,75	ml
40		SPON	argumentation	proposition	article	expressive	considering	0,72	0,63	that is how it is	klar	environment			Den Typus Mensch der grün wählt aber SUV fährt gibt es natürlich dennoch	insinuation	0.25	0,01	0.76	0,48	0,57	ml
41		SPON	confrontation	irony	article	expressive	joking	0,57	0,83	great	dasfred	environment			Mein Gott ist das fies	praise	0.03	0,71	0.68	0,37	0,58	ml
42		SPON	argumentation	irony	article	poetic	joking	0,62	0,76	great	dasfred	environment			Wie kann man einfach so unsere Vorurteile kaputt machen	praise	0.09	0,71	0.7	0,34	0,48	ml
43		SPON	conclusion	projection	person	meta	joking	0,46	0,54	others should	dasfred	environment			Jetzt muss Dieter Nuhr doch glatt ein Drittel seiner Pointen streichen. 	insinuation	0.08	0,2	0.66	0,17	0,41	ml
45		SPON	argumentation	sub_compound	argument	expressive	stating	0,83	0,78	others should	dasfred	environment			Wohlstand ist, durch eine intakte Landschaft zu wandern und nicht, beim Edel-Italiener Cocktails für dreißig Euro zu schlürfen	insinuation	0.51	0,11	0.76	0,64	0,13	ml
46		SPON	argumentation	ad_hominem-tu_quoque	group	expressive	indicating	0,75	0,32	others do bad things	nomadas	environment			Genau der und seine Kumpels, Kretsch und Fritz sind die RealoGrünen, in engster CDU Zusammenarbeit , also mit den meisten SUV' lern	insinuation	0.44	0,01	0.78	0,67	0,06	ml
47		SPON	argumentation	casting_doubt	article	meta	indicating	0,77	0,46	I contradict	nomadas	environment			Indirekt stimmt der Zusammenhang also doch, dear Spon	dissence	0.62	0,05	0.38	0,78	0,1	ml
48		SPON	argumentation	framing	group	expressive	exaggerating	0,53	0,38	others want	nomadas	environment			Sie wollen den SUV mit Sauerstoff aus dem Auspuff	insinuation	0.25	0,04	0.75	0,31	0,07	ml
49		SPON	argumentation	irony	group	poetic	indicating	0,6	0,39	others are ridiculous	nomadas	environment			Wir können alles, ausser Hochdeutsch	lecture	0.67	0,01	0.46	0,54	0,03	ml
50		SPON	confrontation	ad_verecundiam	opponent	expressive	contradicting	0,87	0,54	I am in a position to say this	im_zweifel_linksradikal	environment			Ich wohne im Berlin Prenzlauer Berg und darf ihnen mit gewissenhafter Überzeugung widersprechen	dissence	0.34	0,02	0.07	0,72	0,13	ml
51		SPON	argumentation	irony	forum	expressive	indicating	0,5	0,43	others are ridiculous	im_zweifel_linksradikal	environment			Auf jeden Fall immer so ökologisch wie ein Christinanenfahrrad oder wie die heißen auf einem 1,10m breitem Radweg	insinuation	0.11	0,02	0.73	0,5	0,04	ml
52		SPON	argumentation	ad_populum	forum	expressive	indicating	0,3	0,28	others do bad things	im_zweifel_linksradikal	environment			Das schönste ist aber dass diese Gefährten 5/7 Tagen auf dem selben Parkplatz stehen weil Mensch ja Anwohnerplakette und 'ne Umweltkarte hat...	insinuation	0.12	0,02	0.73	0,52	0,03	ml
53		SPON	argumentation	analogy	forum	expressive	informing	0,63	0,35	others are ridiculous	im_zweifel_linksradikal	environment			Ist es kein SUV dann ist's ein T6 Caravelle oä	insinuation	0.11	0,05	0.73	0,5	0,1	ml
54		SPON	opening	sub_compound	article	expressive	considering	0,8	0,73	probably right	felisconcolor	history			ist bestimmt ein großartiges Dokument und ich traue Peter Jackson da eine virtuose Handwerkskunst zu	praise	0.05	0,74	0.06	0,04	0,4	ml
55		SPON	opening	sub_compound	forum	poetic	considering	0,78	0,73	probably right	felisconcolor	history			Ja so wird man den Ersten Weltkrieg noch nie gesehen haben	concession	0.05	0,68	0.48	0,05	0,76	ml
56		SPON	argumentation	sub_compound	article	expressive	missing	0,86	0,58	something is missing	felisconcolor	history			Schade ist nur das gerade der geschichtliche Kontext die zu diesem Massaker geführt haben wieder nicht wenigstens am Rande mit eingefügt wird	dissence	0.31	0,1	0.13	0,65	0,16	ml
57		SPON	argumentation	sub_compound	forum	expressive	indicating	0,83	0,72	like this for instance	felisconcolor	history			Da bot neulich das Interview mit dem Historiker weitaus mehr Futter.	praise	0.28	0,69	0.08	0,17	0,21	ml
58		SPON	argumentation	sub_compound	forum	expressive	considering	0,71	0,65	this is important	felisconcolor	history			Aber die Nachwirkungen des Versailler Vertrags haben tatsächlich heute noch Gewicht	concession	0.24	0,09	0.06	0,06	0,77	ml
59		SPON	conclusion	directive	forum	expressive	indicating	0,78	0,61	quality is hard work	felisconcolor	history			Man muss schon nach guten Dokumentationen suchen in denen die ganzen politischen Verstrickungen aufgedröselt werden	concession	0.27	0,07	0.1	0,08	0,78	ml
60		SPON	conclusion	instrumental_argumentation	forum	expressive	praise	0,89	0,85	this is good	JonHH	history			Unbedingt sehenswert	praise	0.05	0,85	0.07	0,01	0,25	ml
61		SPON	argumentation	sub_compound	forum	expressive	assessing	0,85	0,7	I see it this way	JonHH	history			Halb Film, halb Reportage, mit einem ganz eigenen Erzählstil und -tempo	concession	0.22	0,29	0.07	0,05	0,61	ml
62		SPON	argumentation	analogy	self	expressive	assessing	0,8	0,67	i see it this way	JonHH	history			Man fühlt sich teilweise in eine Zeitmaschine versetzt, als würde man aus der Beobacherperspektive neben den Soldaten von damals stehen	praise	0.15	0,73	0.16	0,07	0,63	ml
63		SPON	argumentation	sub_compound	forum	expressive	praise	0,79	0,84	this is good	JonHH	history			Diese persönliche Perspektive, wie auch die so noch nie gesehen Digitalisierung uralter Aufnahmen, vermittelt ein unglaublich nahes und lebendiges Bild	praise	0.15	0,77	0.16	0,04	0,58	ml
64		SPON	conclusion	expressivum	self	expressive	praise	0,87	0,88	this is good	JonHH	history			das geht unter die Haut	praise	0.11	0,82	0.1	0,03	0,64	ml
65		SPON	conclusion	expressivum	forum	expressive	sharing	0,8	0,88	I see it this way	JonHH	history			Man geht nicht nur gerührt aus dem Film, sondern auch mit einem ganz neuen Blick auf eine der tragischsten Epochen unserer jüngeren Vergangenheit	praise	0.1	0,82	0.14	0,03	0,64	ml
66		SPON	conclusion	conclusion	forum	expressive	praise	0,9	0,89	this is good	JonHH	history			Prädikat wertvoll	praise	0.07	0,88	0.1	0,01	0,58	ml
67		SPON	opening	sub_compound	self	expressive	informing	0,8	0,56	I am cool	gehmlich	history			Ich habe den Film bereits auf BBC gesehen	lecture	0.54	0,1	0.35	0,05	0,45	ml
68		SPON	argumentation	ad_populum	article	expressive	wondering	0,78	0,48	others are not cool	gehmlich	history			wundere mich daher, warum SPON erst jetzt, mehrere Monate, nach Veröffentlichung erst darüber berichtet	lecture	0.61	0,06	0.45	0,19	0,18	ml
69		SPON	whataboutism	ignoratio elenchi	article	appellative	indicating	0,4	0,63	I am cool	gehmlich	history			Achtung Spoiler: Achtet mal darauf, wann aus schwarz/weiß Aufnahmen Farbige werden	lecture	0.68	0,03	0.43	0,06	0,09	ml
70		SPON	opening	ignoratio elenchi	self	expressive	informing	0,41	0,61	I am cool	timelock	history			Ich habe ein paar original Stereo Positive von 1917/1922 erworben, die beinahe so etwas sind wie in Glas konservierte Zeit	lecture	0.68	0,09	0.1	0,05	0,15	ml
71		participatory_event	argumentation	expressivum	game	expressive	testing	0,82	0,83	I like it		site			und es macht spass, in den Sachen zu stöbern	praise	0.04	0,8	0.06	0,02	0,2	ml
72		participatory_event	conclusion	expressivum	game	expressive	testing	0,84	0,9	i like it		site			ganz toll und dann auch noch so praktisch	praise	0.05	0,86	0.02	0,01	0,2	ml
73		participatory_event	argumentation	sub_compound	game	expressive	testing	0,85	0,83	this is good		site			ich konnte meine Lampe reparieren lassen	praise	0.03	0,78	0.02	0,01	0,22	ml
74		participatory_event	conclusion	expressivum	game	expressive	testing	0,9	0,93	I like it		unknown			Wunderbar, diese Sachen hier	praise	0.02	0,88	0.02	0,01	0,2	ml
75		participatory_event	conclusion	conclusion	opponent	meta	confessing	0,84	0,87	I like it		unknown			Ich muss sagen, dass das ein wirklich gelungener Konter war	concession	0.14	0,7	0.09	0,07	0,9	ml
76		participatory_event	argumentation	sub_compound	opponent	expressive	praise	0,86	0,88	I like it		unknown			Neben weiteren guten Vorschlägen der Kommentierenden halte ich Ihren Vorschlag 1 für äußerst gelungen	praise	0.09	0,83	0.03	0,09	0,3	ml
77		participatory_event	confrontation	assertion	article	expressive	assessing	0,43	0,36	this is wrong		unknown			Wenn etwas anmaßend ist, dann der Artikel	concession	0.73	0,02	0.22	0,68	0,78	ml
79		Zeit	confrontation	assertion	article	meta	praise	0,83	0,85	this is good		unknown			Ein guter Artikel zum Thema	praise	0.1	0,82	0.08	0,03	0,77	ml
80		Zeit	conclusion	assertion	article	meta	praise	0,91	0,9	this is good		unknown			Lob dafür	concession	0.05	0,82	0.04	0,02	0,84	ml
81		Zeit	argumentation	sub_compound	article	meta	praise	0,86	0,88	this is important		unknown			Liest man momentan leider wirklich selten so objektiv	concession	0.03	0,8	0.1	0,03	0,85	ml
82		Zeit	conclusion	directive	article	meta	requesting	0,77	0,9	this is good		unknown			Ich wünsche mir mehr Artikel solcher Qualität zum Thema	concession	0.1	0,74	0.07	0,06	0,8	ml
83		Zeit	confrontation	assertion	article	meta	agreeing	0,81	0,9	this is good		unknown			Eine ziemlich gute Erklärung von Bitcoin und Blockchain	concession	0.11	0,75	0.05	0,03	0,8	ml
84		Zeit	argumentation	premise	article	meta	agreeing	0,63	0,88	this is important		unknown			Liest man selten	concession	0.09	0,75	0.11	0,03	0,8	ml
85		Zeit	argumentation	ad_hominem	article	meta	indicating	0,68	0,36	others are not cool		unknown			und der Autor merkt diesen inneren Widerspruch nicht einmal	insinuation	0.5	0,03	0.77	0,69	0,08	ml
86		participatory_event	confrontation	ad_populum	forum	expressive	rejecting	0,88	0,15	this is not cool	dinah	art			Was soll der Scheiß Kopfkakke!	dissence	0.5	0,01	0.4	0,9	0,02	ml
87		participatory_event	argumentation	gaga	game	poetic	testing	0,84	0,65	what happens now?	elek	art			gut gut gut gut sehr gut	praise	0.04	0,9	0.03	0,01	0,25	ml
88		participatory_event	confrontation	assertion	game	phatic	sharing	0,6	0,73	i like it	elek	art			sehr gut, sehr gut, ausgezeichnet	praise	0.02	0,9	0.03	0,01	0,27	ml
89		participatory_event	confrontation	gaga	game	poetic	testing	0,71	0,65	this is not cool	heike	art			Ich bin voll genervt, es passiert nichts hier	dissence	0.11	0,02	0.3	0,89	0,22	ml
90		participatory_event	conclusion	conclusion	game	expressive	assessing	0,73	0,26	this is not cool	heike	art			wirklich aufreibend und langatmig. ich dachte, ich dirigiere hier?	dissence	0.14	0,02	0.29	0,8	0,18	ml
91		Facebook	argumentation	ad_hominem-tu_quoque	opponent	meta	critisizing	0,5	0,19	you better withdraw	Heidi Kosche	public_space			Walter Gate , infantiler Scheiss ? Und wie bezeichnen Sie dann die Bilder auf ihrer FB-Seite ??	lecture	0.76	0,02	0.26	0,6	0,09	ml
92		Facebook	conclusion	assertion	argument	expressive	agreeing	0,82	0,88	this is good	Luc Tonerre	public_space			Pragmatische Lösung, während andere immer nur meckern.	praise	0.44	0,88	0.48	0,1	0,77	ml
97		Facebook	conclusion	commissive	opponent	expressive	agreeing	0,83	0,88	I agree	Christine Müller	public_space			Sehe ich genauso @LucTonerre und	concession	0.09	0,72	0.04	0,03	0,75	ml
98		Facebook	conclusion	commissive	opponent	expressive	agreeing	0,84	0,92	I agree	Ingo Arend	public_space			Leuchtet mir vollkommen ein	concession	0.02	0,76	0.02	0,01	0,83	ml
99		Facebook	argumentation	sub_compound	person	expressive	assessing	0,82	0,93	I like it	Ingo Arend	public_space			Originelle Idee, ästhetisch anspruchsvoll, nachhaltiges Material	praise	0.02	0,9	0.02	0,01	0,71	ml
100		Facebook	conclusion	commissive	person	expressive	praise	0,89	0,93	this is good	Ingo Arend	public_space			Eine gute Aktion	praise	0.02	0,88	0.02	0,02	0,71	ml
101		Facebook	conclusion	assertion	person	expressive	thanking	0,8	0,95	thanks	Sander Elf	public_space			Dankeschön	praise	0.07	0,89	0.02	0,02	0,74	ml
102		Facebook	confrontation	assertion	article	expressive	requesting	0,6	0,93	this is important	Seebrücke Kiel	human_rights			Freiheit für Carola Rackete!	praise	0.01	0,8	0.1	0,06	0,3	ml
103		Facebook	confrontation	assertion	forum	expressive	agreeing	0,45	0,87	great	Brigitte Crombusch	human_rights			Seebrücke Kiel	praise	0.01	0,81	0.03	0,02	0,25	ml
104		Facebook	conclusion	straw_man	opponent	expressive	indicating	0,67	0,75	others should	Anne Ham	human_rights			Wer bewusst gegen Gesetze verstößt, muss die Konsequenzen tragen	lecture	0.78	0,02	0.2	0,68	0,45	ml
105		Facebook	argumentation	ad_populum	opponent	expressive	weaken	0,61	0,33	others are ridiculous	Anne Ham	human_rights			"Da kann man nicht einfach ""Freiheit"" schreien ..."	dissence	0.7	0,02	0.6	0,8	0,56	ml
106		Facebook	confrontation	slippery_slope	opponent	poetic	provoking	0,5	0,17	take that sucker	Thomas Mende	human_rights			Seebrücke Kiel 20 Jahre für Carola rackete , damit sie mal zeit zum nachdenken hat	dissence	0.7	0,01	0.6	0,79	0,11	ml
107		Facebook	confrontation	expressivum	opponent	expressive	despising	0,87	0,25	others are not cool	Robert Mostard	human_rights			Anne Ham geh lieber zu deine Rinder. Wir mögen dich sicherlich nicht.	dissence	0.68	0,01	0.1	0,86	0,07	ml
108		Facebook	argumentation	ad_misericordiam	opponent	expressive	considering	0,54	0,39	others should	Gertrud Bode	human_rights			Anne Ham was wäre wenn du auf dem Schiff gewesen wärst?	lecture	0.75	0,02	0.69	0,6	0,1	ml
109		Facebook	confrontation	inquiry	opponent	expressive	requesting	0,87	0,41	others should	Gertrud Bode	human_rights			Anne Ham Warum nicht ?	dissence	0.68	0,05	0.12	0,74	0,08	ml
110		Facebook	confrontation	assertion	opponent	expressive	agreeing	0,9	0,87	I like it	Michael Schad	human_rights			Robert Mostard ich mag Sie	concession	0.02	0,75	0.01	0,01	0,85	ml
111		Facebook	confrontation	assertion	opponent	expressive	agreeing	0,89	0,88	I like it	Thomas Sklorz	human_rights			Robert Mostard wir Dich auch	praise	0.02	0,79	0.02	0,02	0,82	ml
112		Facebook	confrontation	straw_man	opponent	poetic	provoking	0,53	0,24	i'd prefer this	Andre Reve	human_rights			Nö... 20 Jahre Knast wären angebracht	dissence	0.6	0,01	0.11	0,83	0,09	ml
113		Facebook	confrontation	expressivum	opponent	expressive	contradicting	0,7	0,88	others are cool	Todi Loreley	human_rights			Wieso ich mag die Anne Ham	concession	0.5	0,7	0.1	0,68	0,8	ml
114		Facebook	argumentation	post_hoc_ergo_propter_hoc	opponent	expressive	indicating	0,76	0,84	this is important	Stefanie Breyer	human_rights			Anne Ham sie das das wichtigste Gesetz geachtet. Das Gesetz der Menschlichkeit!	praise	0.03	0,8	0.11	0,03	0,23	ml
115		Facebook	argumentation	ad_populum	opponent	expressive	indicating	0,7	0,27	i'd prefer this	Jill Velentine	human_rights			Das ist eine Straftat also Knast	dissence	0.68	0,02	0.09	0,78	0,13	ml
116		Facebook	argumentation	assertion	opponent	expressive	rejecting	0,8	0,28	this is wrong	Jill Velentine	human_rights			das ist Keine Heldin	dissence	0.62	0,02	0.08	0,82	0,09	ml
117		Facebook	argumentation	ignoratio elenchi	forum	expressive	indignating	0,56	0,32	this is wrong	JIll Velentine	human_rights			wer zahlt das alles denn? Wir!	lecture	0.75	0,02	0.16	0,7	0,1	ml
118		Facebook	opening	starting_point	opponent	expressive	indicating	0,7	0,74	this is a fact	Schutter	human_rights			Stefanie Breyer, sie hat die Menschen aus Seenot gerettet	praise	0.63	0,78	0.13	0,68	0,52	ml
119		Facebook	opening	premise	opponent	expressive	agreeing	0,7	0,82	others do good things	Schutter	human_rights			Stefanie Breyer Keine Frage, nicht nur ein Gesetz der Menschlichkeit, sondern Seenotrettung ist eine völkerrechtliche Pflicht!	lecture	0.76	0,72	0.13	0,44	0,48	ml
120		Facebook	argumentation	premise	opponent	expressive	indicating	0,71	0,64	others do bad things	Schutter	human_rights			Stefanie Breyer Allerdings hat sie danach gegen das Gesetz verstoßen.	concession	0.67	0,08	0.1	0,53	0,78	ml
121		Facebook	argumentation	symptomatic_argu	opponent	expressive	indicating	0,79	0,74	rules have to obeyed	Schutter	human_rights			Stefanie Breyer Es gibt nun mal Gesetze, die nicht jeder nach seinem eigenen Gutdünken auslegen kann.	dissence	0.63	0,05	0.16	0,79	0,71	ml
124		Facebook	conclusion	deductive	opponent	expressive	indicating	0,75	0,73	If  A Then not B	Schutter	human_rights			Stefanie Breyer Wäre das der Fall bräuchten wir auch keine Gesetze, sondern dann gelte das Gesetz des Stärkeren!	lecture	0.77	0,03	0.65	0,73	0,68	ml
125		Zeit	argumentation	symptomatic_argu	article	expressive	missing	0,8	0,64	something is missing	Schweizer Söldner	human_rights			Mir kommt die Missachtung der Gesetze, wenn sie nicht ins eigene Weltbild passen, viel zu kurz in dem Artikel bezügl. der Sea-Watch	dissence	0.63	0,03	0.62	0,77	0,14	ml
126		Zeit	argumentation	sub_compound	article	meta	considering	0,65	0,69	this is correct	Schweizer Söldner	human_rights			Aber wie der Autor selber schreibt, es ist eben auch ein politischer Akt mit der Rettung	concession	0.16	0,23	0.09	0,25	0,74	ml
127		Zeit	argumentation	sub_compound	article	meta	indicating	0,84	0,77	this is what matters	Schweizer Söldner	human_rights			nämlich ab dem Zeitpunkt wo man versucht die Menschen in Italien an Land zu bringen.	lecture	0.73	0,06	0.06	0,59	0,3	ml
128		Zeit	argumentation	secundum_quid	group	expressive	indicating	0,79	0,63	this is what happens	Schweizer Söldner	human_rights			Und dagegen wehren sich die Bürger Italiens	insinuation	0.66	0,21	0.78	0,6	0,17	ml
129		Zeit	argumentation	premise	forum	meta	indicating	0,82	0,65	this proves it	Schweizer Söldner	human_rights			siehe die Wahlergebnisse	lecture	0.75	0,1	0.08	0,52	0,53	ml
130		Zeit	argumentation	premise	situation	expressive	indicating	0,82	0,67	because of that	Schweizer Söldner	human_rights			eben, dass diese Schiffe ihnen Migranten liefern, danach wieder rausfahren und sich dann alles wiederholt	dissence	0.67	0,03	0.68	0,75	0,1	ml
131		Zeit	argumentation	secundum_quid	forum	expressive	indicating	0,71	0,65	this is what happens	Schweizer Söldner	human_rights			Die Menschen haben was dagegen, das eine eigens herbeigeführte Seenotlage zur Einreise nach Europa berechtigen soll	insinuation	0.54	0,13	0.82	0,56	0,43	ml
132		Zeit	argumentation	secundum_quid	situation	meta	indicating	0,75	0,68	this is what happens	Schweizer Söldner	human_rights			Es ist immer so, das Rettung und Überfahrt vermischt wird, aber es ist eben nicht dasselbe.	insinuation	0.67	0,03	0.84	0,73	0,43	ml
133			conclusion	analogy	person	expressive	assessing	0,58	0,38	I see it this way	Schweizer Söldner	human_rights			Das ist am Ende nicht viel besser als Salvini, es ist eher heuchlerischer und verlogener	insinuation	0.58	0,04	0.8	0,7	0,6	ml
134			argumentation	analogy	person	expressive	indicating	0,65	0,43	i see it this way	Schweizer Söldner	human_rights			Merkel mag nicht agieren wie Salvini, die macht ein freundliches Lächeln	insinuation	0.48	0,02	0.82	0,63	0,36	ml
135			confrontation	assertion	opponent	expressive	agreeing	0,82	0,83	I like it		unknown			Gute Idee, finde ich	praise	0.02	0,83	0.02	0,02	0,73	ml
136			confrontation	assertion	situation	expressive	assessing	0,78	0,43	strange ..	Stan Laurel	human_rights			Schon sehr seltsam	dissence	0.2	0,05	0.09	0,7	0,65	ml
137			argumentation	expressivum	person	meta	sharing	0,54	0,62	I believe	Stan Laurel	human_rights			Mir fällt auf, dass ich immer häufiger als Ritter Merkels, die ich zumindest politisch stets ablehnte, in die Schranken trete	concession	0.07	0,13	0.05	0,19	0,75	ml
138			confrontation	expressivum	argument	expressive	assessing	0,8	0,74	i don't believe this	Stan Laurel	human_rights			Ich halte den Vorwurf für ungerecht.	dissence	0.09	0,04	0.2	0,77	0,1	ml
139			opening	starting_point	person	expressive	informing	0,7	0,71	this is what happens		human_rights			Der ursprüngliche Ansatz Merkels war, eine gesamt-europäische konsensuale Lösung zur Frage zu erreichen	insinuation	0.67	0,27	0.75	0,46	0,5	ml
140			argumentation	expressivum	person	expressive	assessing	0,76	0,69	i see it this way		human_rights			Sie hat das mE. zwar sehr, sehr unglücklich und hier wirklich dilettantisch moderiert	concession	0.57	0,08	0.14	0,61	0,72	ml
141		Zeit	confrontation	expressivum	article	expressive	assessing	0,85	0,85	i like it	Chochm	theatre			Ein Lesenswerter Text	praise	0.1	0,8	0.1	0,09	0,67	ml
142		Zeit	confrontation	expressivum	article	expressive	agreeing	0,85	0,86	I agree	Awesome AI	theatre			Ich kann der Autorin auch nur beipflichten	concession	0.08	0,73	0.07	0,05	0,8	ml
143		Youtube	argumentation	sub_compound	person	meta	confessing	0,79	0,86	others are cool	Axel Schmidt	politics			So sehr sich über ihn lustig gemacht wird, er arbeitet sauber und teilt für meinen Geschmack recht ordentlich aus	concession	0.2	0,75	0.2	0,22	0,83	ml
144		Youtube	conclusion	expressivum	person	expressive	confessing	0,83	0,86	this is good	Axel Schmidt	politics			Ich bin zwar kein CDU-Wähler, aber der Typ ist mir manchmal echt sympathisch	concession	0.1	0,75	0.06	0,1	0,84	ml
145		Youtube	argumentation	inductive	person	expressive	indicating	0,76	0,79	maybe because	Axel Schmidt	politics			Vielleicht auch, weil wir die gleiche Heimat haben	concession	0.05	0,18	0.09	0,04	0,79	ml
146		Youtube	confrontation	ad_populum	person	poetic	joking	0,5	0,47	great	Osnafan	politics			Gauland gefällt dieses Video nicht	insinuation	0.1	0,03	0.84	0,4	0,06	ml
147		Youtube	conclusion	expressivum	article	expressive	praise	0,8	0,87	this is good		politics			Es muss mehr Menschen wie dich geben, die entschieden gegen die AfD kämpfen und das Netz nicht kampflos denen überlässt!	praise	0.2	0,8	0.13	0,31	0,24	ml
148		heise	opening	premise	forum	meta	critisizing	0,69	0,43	it's complicated	Aristarch	mobility			Die Umweltdiskussion mal beiseite, da sind so viele Unwahrheiten und Unsicherheiten drin.	insinuation	0.46	0,02	0.77	0,7	0,14	ml
149		heise	argumentation	inductive	forum	expressive	asserting	0,74	0,78	that is how it is	Aristarch	mobility			Ich kenne keinen, der einmal ein E-Auto gefahren ist, der nicht begeistert war	dissence	0.28	0,03	0.34	0,67	0,5	ml
150		heise	argumentation	inductive	self	expressive	confessing	0,65	0,74	that is how it is	Aristarch	mobility			Mich eingeschlossen	concession	0.04	0,04	0.05	0,1	0,77	ml
151		heise	conclusion	inductive	group	expressive	asserting	0,53	0,53	others should	Aristarch	mobility			Würde sich BMW mal an den eigenen Werbeslogan halten, würden sie nur noch E-Autos bauen	insinuation	0.49	0,06	0.74	0,53	0,1	ml
