user	topic	link	utterance	category
Thomas Mende	human_rights		Seebrücke Kiel 20 Jahre für Carola rackete , damit sie mal zeit zum nachdenken hat	dissence
Robert Mostard	human_rights		Anne Ham geh lieber zu deine Rinder. Wir mögen dich sicherlich nicht.	dissence
Gertrud Bode	human_rights		Anne Ham was wäre wenn du auf dem Schiff gewesen wärst?	lecture
Gertrud Bode	human_rights		Anne Ham Warum nicht ?	dissence
Michael Schad	human_rights		Robert Mostard ich mag Sie	concession
Thomas Sklorz	human_rights		Robert Mostard wir Dich auch	praise
Andre Reve	human_rights		Nö... 20 Jahre Knast wären angebracht	dissence
Todi Loreley	human_rights		Wieso ich mag die Anne Ham	concession
Stefanie Breyer	human_rights		Anne Ham sie das das wichtigste Gesetz geachtet. Das Gesetz der Menschlichkeit!	praise
Jill Velentine	human_rights		Das ist eine Straftat also Knast	dissence
Jill Velentine	human_rights		das ist Keine Heldin	dissence
JIll Velentine	human_rights		wer zahlt das alles denn? Wir!	lecture
Schutter	human_rights		Stefanie Breyer, sie hat die Menschen aus Seenot gerettet	praise
Schutter	human_rights		Stefanie Breyer Keine Frage, nicht nur ein Gesetz der Menschlichkeit, sondern Seenotrettung ist eine völkerrechtliche Pflicht!	lecture
Schutter	human_rights		Stefanie Breyer Allerdings hat sie danach gegen das Gesetz verstoßen.	concession
Schutter	human_rights		Stefanie Breyer Es gibt nun mal Gesetze, die nicht jeder nach seinem eigenen Gutdünken auslegen kann.	dissence
Schutter	human_rights		Stefanie Breyer Wäre das der Fall bräuchten wir auch keine Gesetze, sondern dann gelte das Gesetz des Stärkeren!	lecture
Schweizer Söldner	human_rights		Mir kommt die Missachtung der Gesetze, wenn sie nicht ins eigene Weltbild passen, viel zu kurz in dem Artikel bezügl. der Sea-Watch	dissence
Schweizer Söldner	human_rights		Aber wie der Autor selber schreibt, es ist eben auch ein politischer Akt mit der Rettung	concession
Schweizer Söldner	human_rights		nämlich ab dem Zeitpunkt wo man versucht die Menschen in Italien an Land zu bringen.	lecture
Schweizer Söldner	human_rights		Und dagegen wehren sich die Bürger Italiens	insinuation
Schweizer Söldner	human_rights		siehe die Wahlergebnisse	lecture
Schweizer Söldner	human_rights		eben, dass diese Schiffe ihnen Migranten liefern, danach wieder rausfahren und sich dann alles wiederholt	dissence
Schweizer Söldner	human_rights		Die Menschen haben was dagegen, das eine eigens herbeigeführte Seenotlage zur Einreise nach Europa berechtigen soll	insinuation
Schweizer Söldner	human_rights		Es ist immer so, das Rettung und Überfahrt vermischt wird, aber es ist eben nicht dasselbe.	insinuation
Schweizer Söldner	human_rights		Das ist am Ende nicht viel besser als Salvini, es ist eher heuchlerischer und verlogener	insinuation
Schweizer Söldner	human_rights		Merkel mag nicht agieren wie Salvini, die macht ein freundliches Lächeln	insinuation
	unknown		Gute Idee, finde ich	praise
Stan Laurel	human_rights		Schon sehr seltsam	dissence
Stan Laurel	human_rights		Mir fällt auf, dass ich immer häufiger als Ritter Merkels, die ich zumindest politisch stets ablehnte, in die Schranken trete	concession
Stan Laurel	human_rights		Ich halte den Vorwurf für ungerecht.	dissence
	human_rights		Der ursprüngliche Ansatz Merkels war, eine gesamt-europäische konsensuale Lösung zur Frage zu erreichen	insinuation
	human_rights		Sie hat das mE. zwar sehr, sehr unglücklich und hier wirklich dilettantisch moderiert	concession
Chochm	theatre		Ein Lesenswerter Text	praise
Awesome AI	theatre		Ich kann der Autorin auch nur beipflichten	concession
Axel Schmidt	politics		So sehr sich über ihn lustig gemacht wird, er arbeitet sauber und teilt für meinen Geschmack recht ordentlich aus	concession
Axel Schmidt	politics		Ich bin zwar kein CDU-Wähler, aber der Typ ist mir manchmal echt sympathisch	concession
Axel Schmidt	politics		Vielleicht auch, weil wir die gleiche Heimat haben	concession
Osnafan	politics		Gauland gefällt dieses Video nicht	insinuation
	politics		Es muss mehr Menschen wie dich geben, die entschieden gegen die AfD kämpfen und das Netz nicht kampflos denen überlässt!	praise
Aristarch	mobility		Die Umweltdiskussion mal beiseite, da sind so viele Unwahrheiten und Unsicherheiten drin.	insinuation
Aristarch	mobility		Ich kenne keinen, der einmal ein E-Auto gefahren ist, der nicht begeistert war	dissence
Aristarch	mobility		Mich eingeschlossen	concession
Aristarch	mobility		Würde sich BMW mal an den eigenen Werbeslogan halten, würden sie nur noch E-Autos bauen	insinuation
himan	mobility		Angenommen es würde einen 1er BMW geben mit 250KW Leistung	concession
himan	mobility		Praktisch aufgebaut auf einem erfolgreichen Kompakt Model, was auch gerne mal als Zweitwagen genutzt wird	praise
himan	mobility		Als Akku sehe ich in dem Fall ein Akku mit bis 40 kWh als ideal an	concession
himan	mobility		Von 0 auf 100 beschleunigt das Model wohl möglich in unter 6 Sekunden	praise
himan	mobility		Höchstgeschwindigkeit 180-200 wäre ja in Ordnung	concession
himan	mobility		Fazit, ich würde sofort so ein fixes Ding kaufen	concession
himan	mobility		Zumal es recht wartungsfrei fährt und eine schöne Form hat	praise
himan	mobility		Ideal zum Parken und auch umgeklappt für den Einkauf.	praise
himan	mobility		Etliche Motorvarianten bräuchte es dann nicht geben	concession
javasuppe	mobility		dort wird man auf der Bahn, wenn man mit 100 Unterwegs ist alle 2 Minuten von Tesla und Co überholt	lecture
Clö	trade		Nope, eine gebrauchte Matratze kaufe ich wie Unterwäsche oder Kondome nicht 	dissence
Clö			"Ich nehme auch keine ""Gratis zum mitnehmen""-Matratzen am Strassenrand mit, wo gelbe Spuren drauf zu sehen sind"	lecture
Clö			Mir hat sie zum Glück gepasst und ich hab sie behalten.	concession
Clö			Fünf Minuten probeliegen im Geschäft genügt mir nicht.	dissence
Clö			Zudem kommt noch das Müllproblem und umweltverschmutzung hinzu, falls die gebrauchte Matratze nicht mehr weiterverkauft werden kann	concession
Clö			Denkt daran, Konsumenten.	lecture
Andreas Nguyen	nature		Dass kommt vom Klima Wandel	lecture
Andreas Nguyen	nature		Wie kann dass sonst sein, das dieser Vulkan einfach ausbricht?	insinuation
Andreas Nguyen	nature		Dadurch, das dass Klima immer wärmer wird, werden auch die Vulkane heißer, weshalb sowas erst passiert	lecture
Andreas Nguyen	nature		Und das wird nicht der Einzigste Vulkan sein, bei dem sowas noch passieren wird, wenn wir den Klima Wandel nicht stoppen	lecture
Piet Wagner	nature		Andreas Nguyen Dein Ernst jetzt?	dissence
Christian Laberrhabarber	nature		Andreas Nguyen natürlich kommt das vom Klimawandel	lecture
Christian Laberrhabarber	nature		wir deutschen und unser Diesel sind schuld..	dissence
PerOle Wendland	nature		Andreas Nguyen dein Ernst?!	dissence
Patrick Aust	nature		Christian Laberrhabarber Du denkst zu kurz	lecture
Sven Jckel	nature		Das fake Profil Andreas wollte mal wieder sein geistigen Erguss mitteilen	insinuation
	consumerism		60 KG Fleisch pro Kopf und Jahr sind nicht nachhaltig und auch nicht gesund	dissence
	consumerism		Das muss weniger werden und da kann und sollte jeder bei sich selbst anfangen	lecture
Willy Wusel	consumerism		Vor allem sollten wir Deutschen unseren Fleischkonsum drastisch senken	lecture
Micky Messer	consumerism		Wenn das dazu führt das Bio-Fleisch nicht mehr 4€ für 200 Gramm kostet ist das eine sehr gute Sache	praise
Micky Messer	consumerism		Auch die Tierliebe hat finanziellen Grenzen	concession
Erbauer1	consumerism		Kommt man eh viel billiger bei weg und gleichzeitig senkt man noch sein Risiko für Krebs, Diabetes und Herzkreislauferkrankungen sowie eine Reihe anderer	praise
Erbauer1	consumerism		Vom ökologischen und ethischen Aspekt ganz zu schweigen	concession
Paul Ericsson	consumerism		Vor allem sollten Lebensmittel den Status bekommen, bei den eigenen Ausgaben, den sie verdient haben	lecture
Paul Ericsson	consumerism		Immer zuerst dafür und dann andere Formen des Konsums	lecture
Paul Ericsson	consumerism		Fleisch ist ohnehin reine Verschwendung von Ressourcen	dissence
Quotenwagnerianer	consumerism		Völlig falscher Ansatz	dissence
	consumerism		Da Rinderzucht auch noch Klimaschädlich ist muss das Fleisch sogar noch teurer werden, damit der Konsum zurückgeht und die Höfe mit einem kleineren Bestand an Tieren arbeiten können ohne finanzielle Einbußen zu haben	concession
Zeitleserin64	environment		es ist schon lange bekannt das rotes Fleisch für den Körper schädlich ist und nur selten gegessen werden sollte	insinuation
wilhelmsburger	consumerism		Warum gleich wieder polemisch?	insinuation
wilhelmsburger	consumerism		So diskreditieren sie sich selbst	lecture
Des Doktors Bruder	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur	Ein sehr guter Artikel.	praise
Des Doktors Bruder	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur	Ich hatte nicht gewusst dass es so etwas in Slowenien gibt	concession
The Council	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur	Diese Statue ist doch das Beste, was der Frau passieren kann	concession
Des Doktors Bruder	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur	Absolut	praise
Des Doktors Bruder	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur	Da muss ich unbedingt hin um mir dieses Weltkulturerbe anzusehen	concession
Gandalf sein Freund	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur	Weltkultur ... Erbe der Menschheit, da haben Sie eh großen Nachholbedarf	lecture
Gandalf sein Freund	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur	Ihre Postings im Dienste Trumps und AFD sind nicht gerade das was Weltkulturerbe ausmacht	dissence
din flickvän älskar mig	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur	Die Statue ist lebendiger als das Original.	praise
dduck	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	Das klingt alles nach großem Schwachsinn, der auch noch als hochwertig zelebriert wird...	dissence
thereshegoes	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	Ich liebe liebe dieses Finale!	praise
thereshegoes	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	Trotzdem, ich kann nicht genug von ungeklärten Geheimnissen und Mysterien bekommen	praise
thereshegoes	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	so macht es mir viel mehr Spaß die verschiedensten Theorien zu lesen.	concession
Darmok auf dem Ozean	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	@Dduck: Das ist eine sehr treffende Definition von ..... Kunst.:xd	praise
dduck	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	@Darmok: Ja, und eine gute Serie zeichnet sich für mich eben dadurch aus, dass sie nicht nur Kunst ist, sondern gleichzeitig auch Konstruktion.	concession
serienfan47	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	Wo war hier bitte der Mindfuck?	dissence
blablab	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	Das ist totaler Quatsch	dissence
blablab	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	Nur deine, banale Interpretation	insinuation
Immelmann	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	"Die Rückkehr nach ""Twin Peaks"" ist nicht so verlaufen, wie du es dir gewünscht hast?"	insinuation
immelmann	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	Tut mir echt leid	concession
immelmann	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	Aber irgendwie habe ich das Gefühl, dass das genau die Absicht der Macher war	insinuation
immelmann	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	Nur so ein Gedanke	lecture
dreamZD	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html	"Wenn Sie das unter ""nie wieder erholen"" verstehen., bitteschön..."	lecture
	any		Das hätten Sie sich schon selber denken können, oder?	lecture
	any		Das hätten Sie sich schon selber denken können, oder?	lecture
	any		Sie sollten sich mal etwas näher damit beschäftigen	lecture
	any		Sie sollten sich mal etwas näher damit beschäftigen	lecture
	any		Ich empfehle da einfach mehr Selbstbewusstsein	lecture
	any		Sie müssen nicht von ihren Wünschen auf andere schliessen 	insinuation
	any		Sie müssen nicht von ihren Wünschen auf andere schliessen	lecture
	any		Wie gesagt, es bedarf hier eigentlich Fachwissen, das Sie sich erst aneignen müssten	lecture
	any		Sie brauchen dringend Nachhilfe in Sachen Demokratie	lecture
	any		Sie brauchen dringend Nachhilfe in Sachen Demokratie	insinuation
	any		Ihren Link bitte selbst nochmals studieren!	lecture
	any		Wenn ich Ihnen einen Rat geben darf	lecture
	any		Sie sollten zur Kenntnis nehmen	lecture
	any		Vielleicht sollten sie auf Kommentare weniger bewertend eingehen, sondern sich mehr inhaltlich damit auseinander setzen	lecture
	any		Das sollten sie zu schätzen wissen, ist nämlich nicht überall auf der Welt so	lecture
	any		Vielleicht sollten sie auf Kommentare weniger bewertend eingehen, sondern sich mehr inhaltlich damit auseinander setzen	lecture
	any		bitte erst informieren, dann schreiben	lecture
	any		Erkenntnisgewinn setzt Leser voraus die auch Erkenntnis gewinnen wollen, anstatt nur	lecture
JF_WGT	politics	https://jungefreiheit.de/politik/deutschland/2019/verfassungsschutz-stuft-identitaere-bewegung-als-rechtsextrem-ein/	Verfassungsschutz: Gegen „Multikulturalismus“ = rechtsextrem.	dissence
JF_WGT	politics	https://jungefreiheit.de/politik/deutschland/2019/verfassungsschutz-stuft-identitaere-bewegung-als-rechtsextrem-ein/	Altkanzler Helmut Schmidt (SPD): „Die multikulturelle Gesellschaft ist eine Illusion von Intellektuellen“	praise
JF_WGT	politics	https://jungefreiheit.de/politik/deutschland/2019/verfassungsschutz-stuft-identitaere-bewegung-als-rechtsextrem-ein/	Altkanzler Helmut Schmidt (SPD): „Mit einer demokratischen Gesellschaft ist das Konzept von Multikulti schwer vereinbar“	praise
JF_WGT	politics	https://jungefreiheit.de/politik/deutschland/2019/verfassungsschutz-stuft-identitaere-bewegung-als-rechtsextrem-ein/	Altkanzler Helmut Schmidt (SPD): „Insofern war es ein Fehler, daß wir zu Beginn der 60er Jahre Gastarbeiter aus fremden Kulturen ins Land holten.“	praise
JF_WGT	politics	https://jungefreiheit.de/politik/deutschland/2019/verfassungsschutz-stuft-identitaere-bewegung-als-rechtsextrem-ein/	Entsprechend den Kriterien vom Verfassungsschutz war Herr Schmidt also ein Rechtsextremist.	dissence
JF_WGT	politics	https://jungefreiheit.de/politik/deutschland/2019/verfassungsschutz-stuft-identitaere-bewegung-als-rechtsextrem-ein/	Noch Fragen, Kienzle?	lecture
Austrian Truther	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	Ich bin stolz auf die Identitären!	praise
Austrian Truther	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	Wahnsinn was Martin Sellner alles über sich ergehen lassen muss, nur weil er sein Land schützen will	praise
Brustring	politics	https://www.zeit.de/politik/deutschland/2019-07/verfassungsschutz-identitaere-bewegung-rechtsextremismus-einstufung	Gut so	praise
Der Waldroland	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	Schön,dass es noch neutrale Berichterstattung gibt	praise
Rh2 Donator	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	Die IB ist nicht extremistisch, ich hoffe sie bleibt noch lange bestehen	dissence
Andreas Gab	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	Die erste faire Berichterstattung	concession
Andreas Gab	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	es bleibt zu hoffen daß es viele Menschen zu sehen bekommen...	lecture
Marelmbrium	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	Schön zu sehen, dass noch eine vorurteilsfreie Berichterstattung über die IB möglich ist!	praise
Marelmbrium	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	DANKE!!	praise
Half Swonson	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	Eine faire Doku, hat mir gefallen.	praise
WasserKaiser	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	Ich beschäftige mich schon länger mit der IB und möchte ihnen Danken für ihren Einsatz für Demokratie und Freiheit	praise
WasserKaiser	politics	https://www.youtube.com/watch?time_continue=84&v=QXZVCEWqzxU	und möchte ihnen danken für ihren Einsatz für Demokratie und Freiheit	praise
	discourse		Damit befinden Sie sich hinter der Linie einer vernunftgeprägten Diskussion	lecture
	discourse		Sie verkommen in Einsilbigkeit, geistreich ist das nicht	lecture
			Dann lesen Sie den Artikel zu Ende!	lecture
			Sie sollten sich mein Posting noch einmal in Ruhe anschauen	lecture
			Derlei Spekulationen können sich recht schnell gegen Sie wenden	lecture
			Verwenden Sie doch bitte keine Wörter, die Sie nicht kennen, bzw korrekt anwenden können	lecture
			mein Tipp an Sie. Lesen Sie es nochmal durch..	lecture
			mein Tipp an Sie. Lesen Sie es nochmal durch..	lecture
			dann sollten Sie mit der Wahl Ihrer Adjektive höchst vorsichtig sein	lecture
Apustaja	urban	https://www.zeit.de/wirtschaft/2019-07/wohnungsmarkt-karl-marx-allee-mieten-gewobag-immobilienmarkt	Natürlich gibt es keine Transparenz bei dem Deal, das könnte die Bevölkerung wohl verunsichern..	insinuation
Apustaja	urban	https://www.zeit.de/wirtschaft/2019-07/wohnungsmarkt-karl-marx-allee-mieten-gewobag-immobilienmarkt	Natürlich gibt es keine Transparenz bei dem Deal, das könnte die Bevölkerung wohl verunsichern..	insinuation
Kein_Spass	urban	https://www.zeit.de/wirtschaft/2019-07/wohnungsmarkt-karl-marx-allee-mieten-gewobag-immobilienmarkt	Absolut richtig was Berlin da gemacht hat	praise
Kein_Spass	urban	https://www.zeit.de/wirtschaft/2019-07/wohnungsmarkt-karl-marx-allee-mieten-gewobag-immobilienmarkt	Das nennt sich soziale Marktwirtschaft	praise
Kein_Spass	urban	https://www.zeit.de/wirtschaft/2019-07/wohnungsmarkt-karl-marx-allee-mieten-gewobag-immobilienmarkt	Das würde ich mir auch für Düsseldorf wünschen	concession
Xillary	urban	https://www.zeit.de/wirtschaft/2019-07/wohnungsmarkt-karl-marx-allee-mieten-gewobag-immobilienmarkt	Werfen Sie doch einen Blick ins Grundbuch	lecture
xillary	urban	https://www.zeit.de/wirtschaft/2019-07/wohnungsmarkt-karl-marx-allee-mieten-gewobag-immobilienmarkt	Das hilft Ihnen vielleicht bei der Spurensuche nach den Vorbesitzern	lecture
xillary	urban	https://www.zeit.de/wirtschaft/2019-07/wohnungsmarkt-karl-marx-allee-mieten-gewobag-immobilienmarkt	Legen Sie einfach ein berechtigtes Interesse dar	lecture
HirnVormBrett	urban		Sie haben dort absolut Recht, aber sowas wird ein (Berliner) R2G-Wähler nicht verstehen	insinuation
HirnVormBrett	urban		Der klatscht lieber bei solchem Schwachsinn, weil es ja den bösen Konzernen an den Kragen geht	insinuation
HirnVormBrett	urban		Sie haben dort absolut Recht, aber sowas wird ein (Berliner) R2G-Wähler nicht verstehen	concession
			Die Sozis konnten noch nie mit Geld umgehen	insinuation
			Genau lesen, dann schreiben...	lecture
			Googeln hilft auch schon.	lecture
			Aber heute ist das schon etwas anders, werter Herr.	lecture
			Sie sagen ja selbst, Sie wüssen nicht was Sie glauben sollen	lecture
			"Informieren Sie sich doch einfach selbst über den ""Menschenrechtsrat"" und die Position der UN."	lecture
			Nun, dann sollten Sie sich das zu Herzen nehmen	lecture
			ob ich damit Geld verdiene oder nicht, geht Sie ja wohl erstmal gar nichts an, oder?	lecture
			Für andere geht es halt um Umweltschutz und Rücksichtnahme aufeinander.	lecture
			ohne Sie hätte ich nie gedacht, daß es den Rassenunterschied nicht gibt	concession
			Dank Ihnen bin ich nun schlauer als zuvor	concession
			Tiefsten Respekt für den ums Leben gekommenen Retter!<3	praise
			Danke an alle Retter und alles.gute für die Kinder und den Trainer	praise
			Nun hören Sie doch endlich auf, sich selber der Lächerlichkeit preiszugeben.	lecture
			Machen Sie sich nicht lächerlich.	lecture
			es ist Ihnen nur nicht gegeben es zu verstehen	insinuation
			Sie offenbaren hier die Arroganz und Militanz	lecture
			Haben Sie den Schuss nicht gehört?	lecture
			Über Ihre inhaltlichen Schwächen beim Textverständnis und mangelhafte Fähigkeiten, logisch zu argumentieren, sehe ich erstmal hinweg, das wäre immerhin schon die mittlere Reife.	lecture
			Ihre Simplifizierungen suchen ihresgleichen.	lecture
			Sie Spalter!	insinuation
			Ihr Beitrag strotzt nur so vor Unwissen und Pauschalurteilen.	lecture
			ihre unterstellungen verachte ich!	dissence
			Lachhaft! Das ist eine Karte der EU, nicht eine Europas!	dissence
			Leider koennen Sie, wie schon in Ihren anderen Kommentaren, nicht liefern und werden persoenlich	lecture
			Du hast den Sinn dieser Aktion leider nicht gecheckt	lecture
